,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
5962,ObanlearoMathew,Where can you spend your whole time/day on Mine: Twitter Strettttt Nah there I Dey see better cruise jooor #BBNaija #LayCONSISTENT #ElitesForEricaForever #bbnaija2020,2020-08-29 23:32:41+00:00,0,1,,#BBNaija #LayCONSISTENT #ElitesForEricaForever #bbnaija2020,
5963,VisaNigeria,"Today, we give fist bumps to @Keexstribe as we celebrate this incredible Nigerian born sneaker brand whose uniqueness to tell African stories with their shoes also led them to take advantage of the numerous opportunities that eCommerce provides.",2020-08-15 10:08:49+00:00,805,9529,@keexstribe,,
5964,igolonwanyi,I so wanna throw up right now #BBNaija WTF is this!,2020-08-29 23:32:41+00:00,1,6,,#BBNaija,
5965,EricasStan2,#BBNaija This is so funny to me jeez,2020-08-29 23:32:41+00:00,0,6,,#BBNaija,
5966,SoFavoured1,Ozo peeping from a distance Nene and Kidd's convo #BBNaija,2020-08-29 23:32:41+00:00,0,4,,#BBNaija,
5967,Trendyfitscoll1,Trickytee should geddifok #bbnaija,2020-08-29 23:32:40+00:00,0,3,,#bbnaija,
5968,OzoErica,Bathong nengi im shocked #BBNaija,2020-08-29 23:32:40+00:00,0,1,,#BBNaija,
5969,BabsieLamani,I feel like you’re distancing yourself from me #BBNaija ,2020-08-29 23:32:40+00:00,0,9,,#BBNaija,
5970,Zubygee,Trikytee leave that place #BBNaija,2020-08-29 23:32:40+00:00,0,3,,#BBNaija,
5971,omowonuola125,I like this new dimension of things #BBNaija,2020-08-29 23:32:39+00:00,0,2,,#BBNaija,
5972,BlazeTraitor,Warrisgoin on #BBNaija ,2020-08-29 23:32:39+00:00,0,2,,#BBNaija,
5973,iretiolaoluwa1,Oh wow interesting #BBNaija,2020-08-29 23:32:39+00:00,0,1,,#BBNaija,
5974,aghenu_osafum,You can't tell me Nengi doesn't know what she's doing #BBNaija,2020-08-29 23:32:39+00:00,2,14,,#BBNaija,
5975,BUSAWLAH,They planned this drama during the party #bbnaija,2020-08-29 23:32:39+00:00,0,1,,#bbnaija,
