"","date","Count","word"
"166",2020-08-21 19:05:31,2,"goal"
"167",2020-08-21 19:05:32,1,"goal"
"168",2020-08-21 19:05:34,1,"goal"
"169",2020-08-21 19:05:35,1,"goal"
"170",2020-08-21 19:05:36,2,"goal"
"171",2020-08-21 19:05:38,3,"goal"
"172",2020-08-21 19:05:40,3,"goal"
"173",2020-08-21 19:05:45,1,"goal"
"174",2020-08-21 19:05:46,2,"goal"
"175",2020-08-21 19:05:47,2,"goal"
"176",2020-08-21 19:05:48,4,"goal"
"177",2020-08-21 19:05:49,2,"goal"
"178",2020-08-21 19:05:52,2,"goal"
"179",2020-08-21 19:05:53,1,"goal"
"180",2020-08-21 19:05:54,5,"goal"
"181",2020-08-21 19:05:55,4,"goal"
"182",2020-08-21 19:05:56,2,"goal"
"183",2020-08-21 19:05:57,5,"goal"
"184",2020-08-21 19:05:59,1,"goal"
"185",2020-08-21 19:06:01,3,"goal"
"186",2020-08-21 19:06:02,3,"goal"
"187",2020-08-21 19:06:04,1,"goal"
"188",2020-08-21 19:06:05,1,"goal"
"189",2020-08-21 19:06:06,2,"goal"
"190",2020-08-21 19:06:07,2,"goal"
"191",2020-08-21 19:06:08,1,"goal"
"192",2020-08-21 19:06:09,3,"goal"
"193",2020-08-21 19:06:11,4,"goal"
"194",2020-08-21 19:06:12,3,"goal"
"195",2020-08-21 19:06:13,1,"goal"
"196",2020-08-21 19:06:14,4,"goal"
"197",2020-08-21 19:06:15,3,"goal"
"198",2020-08-21 19:06:19,1,"goal"
"199",2020-08-21 19:06:20,2,"goal"
"200",2020-08-21 19:06:21,2,"goal"
"201",2020-08-21 19:06:22,2,"goal"
"202",2020-08-21 19:06:23,1,"goal"
"203",2020-08-21 19:06:25,4,"goal"
"204",2020-08-21 19:06:26,1,"goal"
"205",2020-08-21 19:06:27,4,"goal"
"206",2020-08-21 19:06:28,3,"goal"
"207",2020-08-21 19:06:29,2,"goal"
"208",2020-08-21 19:06:30,2,"goal"
"209",2020-08-21 19:06:31,5,"goal"
"210",2020-08-21 19:06:32,3,"goal"
"211",2020-08-21 19:06:33,1,"goal"
"212",2020-08-21 19:06:35,2,"goal"
"213",2020-08-21 19:06:38,1,"goal"
"214",2020-08-21 19:06:39,2,"goal"
"215",2020-08-21 19:06:40,4,"goal"
"216",2020-08-21 19:06:41,3,"goal"
"217",2020-08-21 19:06:42,5,"goal"
"218",2020-08-21 19:06:43,4,"goal"
"219",2020-08-21 19:06:45,3,"goal"
"220",2020-08-21 19:06:46,5,"goal"
"221",2020-08-21 19:06:47,2,"goal"
"222",2020-08-21 19:06:48,2,"goal"
"223",2020-08-21 19:06:49,3,"goal"
"224",2020-08-21 19:06:51,1,"goal"
"225",2020-08-21 19:06:52,1,"goal"
"226",2020-08-21 19:06:53,2,"goal"
"227",2020-08-21 19:06:54,2,"goal"
"228",2020-08-21 19:06:55,3,"goal"
"229",2020-08-21 19:06:56,4,"goal"
"230",2020-08-21 19:06:57,2,"goal"
"231",2020-08-21 19:06:58,1,"goal"
"232",2020-08-21 19:06:59,1,"goal"
"233",2020-08-21 19:07:00,1,"goal"
"234",2020-08-21 19:07:02,4,"goal"
"235",2020-08-21 19:07:04,4,"goal"
"236",2020-08-21 19:07:05,2,"goal"
"237",2020-08-21 19:07:06,2,"goal"
"238",2020-08-21 19:07:08,1,"goal"
"239",2020-08-21 19:07:09,2,"goal"
"240",2020-08-21 19:07:10,3,"goal"
"241",2020-08-21 19:07:11,3,"goal"
"242",2020-08-21 19:07:12,1,"goal"
"243",2020-08-21 19:07:13,3,"goal"
"244",2020-08-21 19:07:16,1,"goal"
"245",2020-08-21 19:07:17,6,"goal"
"246",2020-08-21 19:07:20,1,"goal"
"247",2020-08-21 19:07:21,1,"goal"
"248",2020-08-21 19:07:22,2,"goal"
"249",2020-08-21 19:07:24,2,"goal"
"250",2020-08-21 19:07:26,1,"goal"
"251",2020-08-21 19:07:27,1,"goal"
"252",2020-08-21 19:07:28,1,"goal"
"253",2020-08-21 19:07:30,5,"goal"
"254",2020-08-21 19:07:31,2,"goal"
"255",2020-08-21 19:07:32,1,"goal"
"256",2020-08-21 19:07:33,4,"goal"
"257",2020-08-21 19:07:34,1,"goal"
"258",2020-08-21 19:07:35,2,"goal"
"259",2020-08-21 19:07:36,1,"goal"
"260",2020-08-21 19:07:37,2,"goal"
"261",2020-08-21 19:07:39,1,"goal"
"262",2020-08-21 19:07:40,1,"goal"
"263",2020-08-21 19:07:41,2,"goal"
"264",2020-08-21 19:07:42,3,"goal"
"265",2020-08-21 19:07:43,1,"goal"
"266",2020-08-21 19:07:44,2,"goal"
"267",2020-08-21 19:07:45,1,"goal"
"268",2020-08-21 19:07:47,1,"goal"
"269",2020-08-21 19:07:48,2,"goal"
"270",2020-08-21 19:07:49,2,"goal"
"271",2020-08-21 19:07:51,1,"goal"
"272",2020-08-21 19:07:53,3,"goal"
"273",2020-08-21 19:07:55,1,"goal"
"274",2020-08-21 19:07:56,3,"goal"
"275",2020-08-21 19:07:57,1,"goal"
"276",2020-08-21 19:07:59,1,"goal"
"277",2020-08-21 19:08:00,1,"goal"
"278",2020-08-21 19:08:01,3,"goal"
"279",2020-08-21 19:08:02,1,"goal"
"280",2020-08-21 19:08:03,1,"goal"
"281",2020-08-21 19:08:04,1,"goal"
